i,j,k,h_ac,h_ab,h_bc,residual_deg
57,58,59,2,1,1,0.4589
57,58,60,3,1,2,0.8056
57,59,60,3,2,1,0.2843
58,59,60,2,1,1,0.1536
58,59,61,3,1,2,0.3428
58,60,61,3,2,1,0.4031
59,60,61,2,1,1,0.0833
59,60,62,3,1,2,0.2456
59,61,62,3,2,1,0.2888
60,61,62,2,1,1,0.3587
60,61,63,3,1,2,0.5528
60,62,63,3,2,1,0.2983
61,62,63,2,1,1,0.2752
61,62,64,3,1,2,0.5451
61,63,64,3,2,1,0.6842
62,63,64,2,1,1,0.1785
62,63,65,3,1,2,0.6937
62,64,65,3,2,1,0.7993
63,64,65,2,1,1,0.3817
63,64,66,3,1,2,0.6031
63,65,66,3,2,1,0.9685
64,65,66,2,1,1,0.5293
64,65,67,3,1,2,1.2961
64,66,67,3,2,1,0.4695
65,66,67,2,1,1,0.3335
65,66,68,3,1,2,0.1694
65,67,68,3,2,1,0.741
66,67,68,2,1,1,0.4009
66,67,69,3,1,2,0.2629
66,68,69,3,2,1,0.6522
67,68,69,2,1,1,0.4605
67,68,70,3,1,2,0.5945
67,69,70,3,2,1,0.4406
68,69,70,2,1,1,0.3122
68,69,71,3,1,2,0.3395
68,70,71,3,2,1,0.219
69,70,71,2,1,1,0.3138
69,70,72,3,1,2,0.2835
69,71,72,3,2,1,0.7314
70,71,72,2,1,1,0.3557
70,71,73,3,1,2,1.2491
70,72,73,3,2,1,0.9654
71,72,73,2,1,1,0.1998
71,72,74,3,1,2,0.4637
71,73,74,3,2,1,0.8888
72,73,74,2,1,1,0.6402
72,73,75,3,1,2,1.0023
72,74,75,3,2,1,0.324
73,74,75,2,1,1,0.2431
73,74,76,3,1,2,0.5527
73,75,76,3,2,1,0.7596
74,75,76,2,1,1,0.1434
