window_i,window_j,hop,q_ref_vs_meas_deg,gauge_fit_resid_i_deg,gauge_fit_resid_j_deg
28,29,1,4.7581,2.1376,5.2171
28,30,2,8.9671,2.1376,8.8412
29,30,1,4.4836,5.2171,8.8412
29,31,2,8.8079,5.2171,5.2555
30,31,1,4.5375,8.8412,5.2555
30,32,2,9.1657,8.8412,2.5945
31,32,1,4.7749,5.2555,2.5945
31,33,2,5.4008,5.2555,0.8596
32,33,1,1.2255,2.5945,0.8596
32,34,2,2.2005,2.5945,1.2564
33,34,1,0.3778,0.8596,1.2564
33,35,2,0.5195,0.8596,1.0954
34,35,1,0.4833,1.2564,1.0954
34,36,2,2.0355,1.2564,2.1428
35,36,1,1.3493,1.0954,2.1428
35,37,2,5.5912,1.0954,5.341
36,37,1,4.7622,2.1428,5.341
36,38,2,9.008,2.1428,8.9641
37,38,1,4.6011,5.341,8.9641
37,39,2,9.1414,5.341,5.1632
38,39,1,4.5639,8.9641,5.1632
38,40,2,9.5067,8.9641,2.1737
39,40,1,4.9468,5.1632,2.1737
39,41,2,6.0059,5.1632,1.5981
40,41,1,1.5899,2.1737,1.5981
40,42,2,2.9891,2.1737,1.7293
41,42,1,1.1182,1.5981,1.7293
41,43,2,2.5901,1.5981,2.4163
42,43,1,1.314,1.7293,2.4163
42,44,2,2.3646,1.7293,1.6128
43,44,1,1.8291,2.4163,1.6128
43,45,2,7.2543,2.4163,4.9998
44,45,1,4.8726,1.6128,4.9998
44,46,2,9.0917,1.6128,8.7877
45,46,1,4.4963,4.9998,8.7877
45,47,2,9.0171,4.9998,4.8439
46,47,1,4.5276,8.7877,4.8439
46,48,2,9.3695,8.7877,3.0496
47,48,1,5.0106,4.8439,3.0496
47,49,2,4.9964,4.8439,1.3366
48,49,1,1.6324,3.0496,1.3366
48,50,2,3.1085,3.0496,0.5459
49,50,1,0.3947,1.3366,0.5459
49,51,2,0.4144,1.3366,0.5107
50,51,1,0.2554,0.5459,0.5107
50,52,2,1.5455,0.5459,2.0888
51,52,1,0.905,0.5107,2.0888
51,53,2,5.4529,0.5107,5.0987
52,53,1,4.769,2.0888,5.0987
52,54,2,8.7198,2.0888,8.4355
53,54,1,4.3886,5.0987,8.4355
53,55,2,8.792,5.0987,4.7052
54,55,1,4.2375,8.4355,4.7052
54,56,2,8.5941,8.4355,2.6736
55,56,1,4.605,4.7052,2.6736
55,57,2,5.0086,4.7052,1.8022
56,57,1,1.5643,2.6736,1.8022
56,58,2,2.341,2.6736,0.7907
57,58,1,0.3073,1.8022,0.7907
57,59,2,0.5569,1.8022,1.0588
58,59,1,0.2877,0.7907,1.0588
58,60,2,1.0768,0.7907,1.3973
59,60,1,0.755,1.0588,1.3973
59,61,2,5.2805,1.0588,4.8455
60,61,1,4.5246,1.3973,4.8455
60,62,2,8.7083,1.3973,8.7754
61,62,1,4.4842,4.8455,8.7754
61,63,2,8.8307,4.8455,4.7108
62,63,1,4.4004,8.7754,4.7108
62,64,2,9.1824,8.7754,3.4792
63,64,1,4.9244,4.7108,3.4792
63,65,2,5.0757,4.7108,1.5314
64,65,1,1.5713,3.4792,1.5314
64,66,2,3.3463,3.4792,1.4641
65,66,1,0.5178,1.5314,1.4641
65,67,2,0.4227,1.5314,1.1953
66,67,1,0.3625,1.4641,1.1953
66,68,2,1.4734,1.4641,1.3564
67,68,1,1.2542,1.1953,1.3564
67,69,2,5.6338,1.1953,5.1862
68,69,1,4.7982,1.3564,5.1862
68,70,2,8.3084,1.3564,8.2827
69,70,1,4.145,5.1862,8.2827
69,71,2,8.6682,5.1862,4.7321
70,71,1,4.1159,8.2827,4.7321
70,72,2,8.1982,8.2827,3.013
71,72,1,4.1632,4.7321,3.013
71,73,2,5.0164,4.7321,1.0212
72,73,1,1.5934,3.013,1.0212
72,74,2,2.8306,3.013,0.9806
73,74,1,0.6093,1.0212,0.9806
73,75,2,1.0912,1.0212,1.292
74,75,1,0.6634,0.9806,1.292
74,76,2,1.9005,0.9806,1.9481
75,76,1,1.442,1.292,1.9481
